Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT"
A001_HILIC,Pyruvic acid,88.0160,3.93,-1.3,-0.3,-0.6,0.0,-0.3,-0.3,-1.0,-1.0,-0.1,0.589,1.000,1.000,1.000,1.000,1.000,0.192,0.040,1.000,6.6E+07,4.9E+07,6.7E+07,2.1E+07,5.0E+07,2.2E+07,5.0E+07,2.5E+07,5.4E+07,4.6E+07,5.3E+07,5.5E+07,7.6E+07,4.5E+07,6.0E+07,4.7E+07,8.2E+07,9.5E+07,9.4E+07,4.5E+07,5.8E+07,4.1E+07,5.3E+07,5.1E+07,2.0E+06,2.1E+06,6.7E+05,2.0E+06,2.4E+06,1.8E+06,2.9E+06,42.9,26.9,9.2,17.3,46.2,15.9
A002_HILIC,L-(+)-Alanine,89.0477,14.83,0.0,-0.1,0.0,0.2,-0.3,-0.6,0.3,-0.3,-0.6,1.000,1.000,1.000,0.294,0.028,0.000,0.060,0.134,0.000,2.3E+09,2.5E+09,2.4E+09,2.2E+09,2.1E+09,2.0E+09,2.1E+09,2.2E+09,2.1E+09,2.0E+09,1.9E+09,1.6E+09,1.8E+09,1.7E+09,1.9E+09,1.9E+09,2.8E+09,2.8E+09,2.8E+09,2.3E+09,3.0E+09,2.6E+09,2.6E+09,2.9E+09,3.1E+06,2.7E+06,1.3E+06,2.9E+06,3.8E+05,3.1E+06,1.8E+06,9.4,4.7,10.8,7.1,9.4,6.0
A003_HILIC,Sarcosine,89.0477,13.63,0.3,0.0,0.2,-4.1,-4.2,-0.1,-3.8,-4.1,-0.3,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.8E+06,3.3E+06,1.8E+06,3.1E+06,2.6E+06,2.4E+06,1.3E+06,1.1E+06,4.1E+07,4.2E+07,3.3E+07,3.1E+07,2.4E+07,3.4E+07,4.5E+07,4.8E+07,4.3E+07,4.2E+07,4.5E+07,5.8E+07,3.6E+07,4.9E+07,3.1E+07,3.4E+07,2.8E+05,9.2E+05,2.8E+05,1.2E+06,3.1E+05,1.2E+06,2.8E+05,21.9,16.2,20.4,26.9,40.8,32.8
A004_HILIC,L-(+)-Lactic acid,90.0317,4.48,1.1,0.2,-0.2,-0.3,-0.8,-0.5,0.6,0.5,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,3.8E+09,7.0E+08,3.9E+09,2.1E+09,4.1E+09,1.5E+10,6.4E+09,2.0E+10,5.4E+09,6.2E+09,3.9E+09,3.9E+09,4.8E+09,5.2E+09,5.0E+09,6.1E+09,6.5E+09,5.5E+09,7.5E+09,4.7E+09,7.3E+09,6.8E+09,5.7E+09,6.3E+09,1.2E+07,1.4E+07,1.3E+07,1.2E+07,1.1E+07,1.3E+07,1.2E+07,15.8,11.6,19.4,13.4,101.5,27.3
A005_HILIC,Glycerin,92.0474,7.10,0.2,-0.1,-0.2,1.6,1.6,-0.1,1.9,2.0,0.1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,7.7E+07,1.0E+08,7.6E+07,7.9E+07,7.6E+07,8.6E+07,7.5E+07,9.0E+07,3.8E+07,3.4E+07,1.8E+07,1.5E+07,2.3E+07,2.2E+07,2.6E+07,2.5E+07,2.6E+07,2.2E+07,2.5E+07,2.3E+07,2.7E+07,2.2E+07,2.2E+07,2.1E+07,4.6E+05,4.8E+05,8.3E+05,5.9E+05,7.1E+05,7.4E+05,6.3E+05,2.4,9.7,32.3,32.6,10.0,1.2
A006_HILIC,"N,N-Dimethylglycine",103.0633,11.14,0.4,-0.4,-0.2,-4.1,-3.9,0.2,-3.3,-3.4,-0.1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,4.0E+07,6.9E+07,5.8E+07,2.5E+07,4.4E+07,7.4E+07,2.0E+07,4.0E+07,7.8E+08,4.6E+08,7.0E+08,5.8E+08,4.5E+08,5.2E+08,1.0E+09,1.3E+09,7.9E+08,7.7E+08,6.0E+08,6.0E+08,5.1E+08,5.5E+08,6.8E+08,3.9E+08,1.1E+08,2.3E+06,2.5E+06,3.2E+06,1.1E+08,1.0E+08,3.3E+06,27.4,18.3,55.0,33.0,45.0,38.4
A007_HILIC,gamma-Aminobutyric acid (GABA),103.0633,15.77,0.2,0.2,0.1,1.1,2.2,1.2,1.0,2.4,1.3,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,9.1E+09,1.1E+10,8.9E+09,8.9E+09,9.0E+09,9.9E+09,8.9E+09,1.1E+10,4.8E+09,4.6E+09,3.7E+09,5.1E+09,4.2E+09,5.1E+09,4.3E+09,5.0E+09,2.1E+09,2.2E+09,1.8E+09,1.9E+09,2.0E+09,1.7E+09,1.6E+09,2.0E+09,7.7E+06,7.4E+07,2.7E+06,4.8E+06,4.2E+06,3.0E+06,2.1E+06,11.6,10.8,4.1,10.6,8.5,1.0
A008_HILIC,3-Hydroxybutyric acid,104.0474,4.74,0.3,0.3,-0.7,-1.5,-1.9,-0.4,-1.6,-1.0,0.6,1.000,1.000,1.000,0.082,0.043,1.000,0.137,0.527,1.000,1.4E+06,3.1E+06,1.3E+07,2.1E+07,1.9E+07,1.6E+07,1.8E+07,2.3E+07,1.2E+08,1.4E+08,3.4E+07,3.8E+07,5.1E+07,6.6E+07,3.9E+07,4.7E+07,6.1E+07,4.9E+07,6.0E+07,2.5E+07,5.9E+07,4.5E+07,5.2E+07,3.0E+07,3.3E+05,2.7E+05,2.8E+05,2.9E+05,3.1E+05,2.6E+05,8.4E+05,31.2,7.4,65.5,64.5,56.6,62.8
A009_HILIC,L-(-)-Serine,105.0426,16.10,-0.2,0.6,0.3,0.5,0.0,-0.4,-0.4,-0.5,-0.1,1.000,1.000,1.000,0.347,1.000,0.726,1.000,0.926,1.000,3.9E+08,4.7E+08,4.3E+08,3.4E+08,4.0E+08,3.2E+08,3.8E+08,3.5E+08,3.1E+08,4.8E+08,3.2E+08,4.3E+08,2.6E+08,4.4E+08,2.4E+08,3.9E+08,2.8E+08,3.4E+08,3.5E+08,3.1E+08,4.2E+08,6.0E+08,4.3E+08,6.0E+08,3.2E+05,3.9E+05,4.9E+05,5.0E+05,4.4E+05,4.5E+05,2.9E+05,34.2,19.2,8.9,12.6,19.2,5.2
A010_HILIC,Hypotaurine,109.0198,15.06,0.3,0.7,0.3,-2.8,-4.5,-1.7,-3.3,-4.6,-1.3,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,7.9E+06,1.2E+07,7.9E+06,8.3E+06,9.4E+06,1.1E+07,7.6E+06,7.7E+06,7.7E+07,1.2E+08,6.0E+07,9.1E+07,4.4E+07,6.7E+07,5.1E+07,9.2E+07,1.8E+08,2.0E+08,2.0E+08,2.0E+08,1.9E+08,2.5E+08,1.6E+08,2.5E+08,2.9E+05,2.9E+05,3.5E+05,2.8E+05,3.0E+05,2.6E+05,3.5E+05,13.4,10.0,22.3,24.4,22.3,9.7
