name	matching_name	kegg	matching_kegg
Pyruvic acid	Pyruvic acid	C00022	C00022
Glycerin	Glycerin	C00116	C00116
L-(-)-Serine	Serine	C00065	C00065
Nicotinamide	Nicotinamide adenine dinucleotide	C00153	C00003
L-Leucine	L-Leucine	C00123	C00123
Isoleucine	L-Isoleucine	C00407	C00407
O-Acetylcholine	Acetylcholine	C01996	C01996
O-Acetylcholine	O-Acetylcholine	C01996	C01996
Phosphoenolpyruvic acid	Phosphoenolpyruvic acid	C00074	C00074
Dihydroxyacetone phosphate	Dihydroxyacetone phosphate acyl ester	C00111	C03372
Dihydroxyacetone phosphate	Dihydroxyacetone	C00111	C00184
Dihydroxyacetone phosphate	Dihydroxyacetone phosphate	C00111	C00111
sn-Glycerol-3-phosphate	Glycerol	C00093	C00116
Citric acid	Citric acid	C00158	C00158
Cytidine	Cytidine 5'-diphosphocholine	C00475	C00307
Cytidine	Cytidine diphosphate ethanolamine	C00475	C00570
Uridine	Uridine diphosphate glucose	C00299	C00029
Choline glycerophosphate	Choline	C00670	C00114
D-Fructose 6-phosphate	beta-D-Fructose 6-phosphate	C00085	C05345
D-Glucose-1-phosphate	D-Glucose	C00103	C00031
D-Glucose-1-phosphate	Glucose	C00103	C00031
D-Glucose 6-phosphate	D-Glucose	C00092	C00031
D-Glucose 6-phosphate	Glucose	C00092	C00031
D-Glucose 6-phosphate	alpha-D-Glucose 6-phosphate	C00092	C00668
D-Glucose 6-phosphate	beta-D-Glucose 6-phosphate	C00092	C01172
Thiamine	Thiamine diphosphate	C00378	C00068
Adenosine	Adenosine 5'-triphosphate	C00212	C00002
Adenosine	Adenosine 5'-diphosphate	C00212	C00008
D-Fructose 1,6-bisphosphate	beta-D-Fructose 1,6-bisphosphate	C00354	C05378
CDP-ethanolamine	CDP-ethanolamine	C00570	C00570
Cytidine 5'-diphosphocholine (CDP-choline)	CDP-choline	C00307	C00307
Cytidine 5'-diphosphocholine (CDP-choline)	Cytidine 5'-diphosphocholine	C00307	C00307
In-source 3-hydroxy-3-methylglutaryl CoA	CoA		C00010
Adenosine 5'-triphosphate (5'-ATP)	ATP	C00002	C00002
Adenosine 5'-triphosphate (5'-ATP)	Adenosine 5'-triphosphate	C00002	C00002
ß-Nicotinamide adenine dinucleotide (NAD+)	NAD+	C00003	C00003
ß-Nicotinamide adenine dinucleotide (NAD+)	NAD	C00003	C00003
ß-Nicotinamide adenine dinucleotide (NAD+)	Nicotinamide adenine dinucleotide	C00003	C00003
ß-Nicotinamide adenine dinucleotide reduced (NADH)	NAD	C00004	C00003
ß-Nicotinamide adenine dinucleotide reduced (NADH)	Nicotinamide adenine dinucleotide	C00004	C00003
ß-Nicotinamide adenine dinucleotide reduced (NADH)	NADH	C00004	C00004
wrong mass ß-Nicotinamide adenine dinucleotide phosphate (NADP)	NAD	C00006	C00003
wrong mass ß-Nicotinamide adenine dinucleotide phosphate (NADP)	Nicotinamide adenine dinucleotide	C00006	C00003
wrong mass ß-Nicotinamide adenine dinucleotide phosphate (NADP)	ADP	C00006	C00008
NADPH	NAD	C00005	C00003
NADPH	ADP	C00005	C00008
ß-Nicotinamide adenine dinucleotide phosphate reduced (NADPH)	NAD	C00005	C00003
ß-Nicotinamide adenine dinucleotide phosphate reduced (NADPH)	Nicotinamide adenine dinucleotide	C00005	C00003
ß-Nicotinamide adenine dinucleotide phosphate reduced (NADPH)	ADP	C00005	C00008
L-a-Phosphatidylcholine	Phosphatidylcholine		C00157
Coenzyme A	Coenzyme A	C00010	C00010
Choline	Choline phosphate	C00114	C00588
Choline	Choline phosphatide	C00114	C00157
Choline	Choline	C00114	C00114
Fumaric acid	Fumaric acid	D02308	C00122
L-(-)-Malic acid	Malic acid	C00149	C00149
D-(+)-Malic acid	Malic acid	C00497	C00149
DL-Malic acid	L-Malic acid	C00711	C00149
DL-Malic acid	Malic acid	C00711	C00149
O-Phosphorylethanolamine	O-Phosphorylethanolamine	C00346	C00346
Acetylcholine	Acetylcholine	C01996	C01996
Acetylcholine	O-Acetylcholine	C01996	C01996
cis-Aconitic acid	cis-Aconitic acid	C00417	C00417
Linoleic acid	Linoleic acid	C01595	C01595
Arachidonic acid	Arachidonic acid	C00219	C00219
8Z,11Z,14Z-Eicosatrienoic acid	8Z,11Z,14Z-Eicosatrienoic acid	C03242	C03242
Palmitoylcarnitine	L-Palmitoylcarnitine		C02990
Adenosine diphosphate (ADP)	ADP	C00008	C00008
ACPC	ACP		C00229
Methylmalonic acid	Methylmalonic acid		C02170
alpha-Ketoglutaric acid	alpha-Ketoglutaric acid		C00026
hydroxyacetone phosphate	Dihydroxyacetone phosphate acyl ester		C03372
hydroxyacetone phosphate	Dihydroxyacetone phosphate		C00111
Dihydroxyacetone phosphate	Dihydroxyacetone phosphate acyl ester		C03372
Dihydroxyacetone phosphate	Dihydroxyacetone		C00184
Dihydroxyacetone phosphate	Dihydroxyacetone phosphate		C00111
D-Glucopyranose	D-Glucopyranose		C00031
D-Glucopyranose	beta-D-Glucopyranose		C00221
.alpha.-D-Glucopyranose	D-Glucopyranose		C00031
.beta.-D-Glucopyranose	D-Glucopyranose		C00031
D-(+)-Glucose	Glucose		C00031
1,3-Dihydroxyacetone Dimer	Dihydroxyacetone		C00184
1,3-Dihydroxyacetone Dimer	1,3-Dihydroxyacetone		C00184
beta-D-Fructofuranose	beta-D-Fructofuranose 6-phosphate		C05345
AminoDHQ	Q		C00399
240I539PWQ	Q		C00399
ADP-D-glucose	ADP		C00008
ADP-alpha-D-mannose	ADP		C00008
1-Myristoyl-2-Palmitoyl-sn-Glycero-3-Phosphocholine	Phosphocholine		C00588
Dihomo-gamma-linolenic acid	Dihomo-gamma-linolenic acid		C03242
Phosphatidylserine	Phosphatidylserine		C02737
Phosphatidylserine	L-1-Phosphatidylserine		C02737
L-Serine	L-Serine-phosphoethanolamine	C00065	C03872
L-Serine	L-Serine	C00065	C00065
L-Serine	Serine	C00065	C00065
Fumaric acid	Fumaric acid	C00122	C00122
D-(+)-Glucose	Glucose	C00031	C00031
beta-D-Fructofuranose	beta-D-Fructofuranose 6-phosphate	C00095	C05345
a-D-Glucose-1-phosphate	D-Glucose	C00103	C00031
a-D-Glucose-1-phosphate	Glucose	C00103	C00031
a-D-Glucose 1-phosphate	D-Glucose	C00103	C00031
a-D-Glucose 1-phosphate	Glucose	C00103	C00031
