genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Lypla1	0.11515925	18777	P97823	P97823	0.8763291443810659
Atp6v1h	0.41895524	108664	Q8BVE3	A0A0A6YX18	-0.027146560075805674
Atp6v1h	0.41895524	108664	Q8BVE3	Q8BVE3	-0.027146560075805674
Atp6v1h	0.41895524	108664	A0A0A6YX18	A0A0A6YX18	-0.027146560075805674
Atp6v1h	0.41895524	108664	A0A0A6YX18	Q8BVE3	-0.027146560075805674
Cox5b	-0.4810507	12859	Q9D881		
Hibch	-1.5180238	227095	Q8QZS1	Q8QZS1	0.091078473375123
Aox1	4.643413	11761	O54754		
Aox1	4.643413	11761	G3X8P9		
Aox3	0.5662809	71724	G3X982		
Aox3	0.5662809	71724	Q8C6Q4		
Aox3	0.5662809	71724	Q9CW59		
Aox4	0.64990485	71872	Q3TYQ9	Q3TYQ9	0.3877053784497153
Ndufb3	-0.5151894	66495	Q9CQZ6	Q9CQZ6	-0.24264327202537936
Ndufs1	-0.87337726	227197	Q91VD9	Q91VD9	0.24015448489069935
Idh1	0.76128966	15926	O88844	O88844	-0.35777563011654534
Acadl	4.9284244	11363	P51174	A0A0R4J083	0.34543448848548247
Acadl	4.9284244	11363	P51174	P51174	0.34543448848548247
Acadl	4.9284244	11363	A0A0R4J083	A0A0R4J083	0.34543448848548247
Acadl	4.9284244	11363	A0A0R4J083	P51174	0.34543448848548247
Acsl3	0.68794847	74205	Q9CZW4	Q9CZW4	0.2320098848169348
Acsl3	0.68794847	74205	Q9CZW4	E9PUC2	0.2320098848169348
Acsl3	0.68794847	74205	E9PUC2	Q9CZW4	0.2320098848169348
Acsl3	0.68794847	74205	E9PUC2	E9PUC2	0.2320098848169348
Dgkd	-0.44092485	227333	E9PUQ8	E9PUQ8	0.3748900065517535
Ndufa10	-1.3805566	67273	Q99LC3	Q99LC3	0.36294820202309774
Aldh9a1	-0.70221066	56752	Q9JLJ2	Q9JLJ2	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q9JLJ2	Q3U367	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q3TMT4	Q9JLJ2	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q3TMT4	Q3U367	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q3U367	Q9JLJ2	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q3U367	Q3U367	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q3V1N7	Q9JLJ2	0.3411552950929306
Aldh9a1	-0.70221066	56752	Q3V1N7	Q3U367	0.3411552950929306
Sdhc	0.041493893	66052	Q9CZB0		
Ndufs2	0.10906226	226646	Q91WD5	Q91WD5	0.1796604857802293
Fh1	-0.032580227	14194	P97807		
Lpgat1	-0.7175573	226856	Q91YX5	E9QL80	0.7573695747481056
Lpgat1	-0.7175573	226856	Q91YX5	Q91YX5	0.7573695747481056
Lpgat1	-0.7175573	226856	E9QL80	E9QL80	0.7573695747481056
Lpgat1	-0.7175573	226856	E9QL80	Q91YX5	0.7573695747481056
