genesymbol	lfc_rna	ncbi_id	UniprotKB
Lypla1	-8.018593	18777	P97823
Atp6v1h	0.19092572	108664	Q8BVE3
Atp6v1h	0.19092572	108664	A0A0A6YX18
Cox5b	-2.7528737	12859	Q9D881
Hibch	0.75542676	227095	Q8QZS1
Aox4	0.7442357	71872	Q3TYQ9
Ndufb3	-0.6185232	66495	Q9CQZ6
Ndufs1	-0.1998539	227197	Q91VD9
Idh1	-3.7135155	15926	O88844
Acadl	5.746449	11363	P51174
Acadl	5.746449	11363	A0A0R4J083
Acsl3	-0.06345641	74205	Q9CZW4
Acsl3	-0.06345641	74205	E9PUC2
Dgkd	1.0620148	227333	E9PUQ8
Ndufa10	-1.2565106	67273	Q99LC3
Etnk2	2.2237587	214253	A7MCT6
Pla2g4a	4.3083067	18783	P47713
Pla2g4a	4.3083067	18783	Q3UMQ1
Pla2g4a	4.3083067	18783	Q9DBX5
Ptgs2	-1.908445	19225	Q05769
Aldh9a1	-0.43358916	56752	Q9JLJ2
Aldh9a1	-0.43358916	56752	Q3TMT4
Aldh9a1	-0.43358916	56752	Q3U367
Aldh9a1	-0.43358916	56752	Q3V1N7
Sdhc	-0.30740973	66052	Q9CZB0
Ndufs2	-1.7674806	226646	Q91WD5
Fh1	-2.2948945	14194	P97807
Lpgat1	2.526259	226856	Q91YX5
Lpgat1	2.526259	226856	E9QL80
Lpgat1	2.526259	226856	Q3UZK0
Lpgat1	2.526259	226856	Q6A0A4
Atp5c1	-3.0063183	11949	Q91VR2
Atp5c1	-3.0063183	11949	A2AKU9
Atp5c1	-3.0063183	11949	Q3UD06
Atp5c1	-3.0063183	11949	Q8C2Q8
Pnpla7	5.7154536	241274	A2AJ88
Agpat2	0.0111322	67512	Q8K3K7
Agpat2	0.0111322	67512	Q059U0
Agpat2	0.0111322	67512	Q9CWA8
Ptges	3.1324034	64292	Q9JM51
Ptges	3.1324034	64292	Q8BNP8
Ptges2	-0.8964991	96979	Q8BWM0
Ndufa8	-1.9024568	68375	Q9DCJ5
Ptgs1	3.1342587	19224	P22437
Ptgs1	3.1342587	19224	Q543T1
Gpd2	0.090266384	14571	Q64521
Atp5g3	-0.9660785	228033	P56384
Atp5g3	-0.9660785	228033	Q14BC2
Ndufs3	-2.5675852	68349	Q9DCT2
Dgkz	2.2574625	104418	Q80UP3
Dgkz	2.2574625	104418	A0A668KL90
Dgkz	2.2574625	104418	A2AHJ7
Dgkz	2.2574625	104418	A2AHK0
Lpcat4	1.6016631	99010	Q6NVG1
Ivd	1.3932972	56357	Q9JHI5
Pla2g4e	3.3916652	329502	Q50L42
Idh3b	-0.44037926	170718	Q91VA7
Cds2	3.081566	110911	Q99L43
Cds2	3.081566	110911	A2AMQ5
Cds2	3.081566	110911	Q6PBC0
Cds2	3.081566	110911	Q8BX08
Gpcpd1	1.0073593	74182	Q8C0L9
Crls1	2.3510852	66586	Q80ZM8
Crls1	2.3510852	66586	A0A0C3SFZ5
Acss1	3.4545534	68738	Q99NB1
Acss1	3.4545534	68738	Q3UJ89
Acss1	3.4545534	68738	Q69Z91
