genesymbol	lfc_rna	ncbi_id	UniprotKB
Lypla1	-8.413507	18777	P97823
Atp6v1h	0.4348397	108664	Q8BVE3
Atp6v1h	0.4348397	108664	A0A0A6YX18
Cox5b	-2.784956	12859	Q9D881
Hibch	0.3910018	227095	Q8QZS1
Aox1	1.3480347	11761	O54754
Aox1	1.3480347	11761	G3X8P9
Aox4	0.13102607	71872	Q3TYQ9
Ndufb3	-1.0042151	66495	Q9CQZ6
Ndufs1	-0.18123753	227197	Q91VD9
Idh1	-5.0304327	15926	O88844
Acadl	6.7396	11363	P51174
Acadl	6.7396	11363	A0A0R4J083
Mogat1	2.8084292	68393	Q91ZV4
Acsl3	0.42412078	74205	Q9CZW4
Acsl3	0.42412078	74205	E9PUC2
Dgkd	0.703375	227333	E9PUQ8
Ndufa10	-1.669143	67273	Q99LC3
Etnk2	1.7980131	214253	A7MCT6
Pla2g4a	4.99537	18783	P47713
Pla2g4a	4.99537	18783	Q3UMQ1
Pla2g4a	4.99537	18783	Q9DBX5
Ptgs2	6.405933	19225	Q05769
Aldh9a1	-1.3441614	56752	Q9JLJ2
Aldh9a1	-1.3441614	56752	Q3TMT4
Aldh9a1	-1.3441614	56752	Q3U367
Aldh9a1	-1.3441614	56752	Q3V1N7
Sdhc	-0.47257608	66052	Q9CZB0
Ndufs2	-2.3522768	226646	Q91WD5
Fh1	-2.2324595	14194	P97807
Lpgat1	3.2579985	226856	Q91YX5
Lpgat1	3.2579985	226856	E9QL80
Lpgat1	3.2579985	226856	Q3UZK0
Lpgat1	3.2579985	226856	Q6A0A4
Atp5c1	-3.2405305	11949	Q91VR2
Atp5c1	-3.2405305	11949	A2AKU9
Atp5c1	-3.2405305	11949	Q3UD06
Atp5c1	-3.2405305	11949	Q8C2Q8
Pnpla7	5.0818653	241274	A2AJ88
Ptgds	1.8711214	19215	O09114
Agpat2	-5.365503	67512	Q8K3K7
Agpat2	-5.365503	67512	Q059U0
Agpat2	-5.365503	67512	Q9CWA8
Ptges	1.8684537	64292	Q9JM51
Ptges	1.8684537	64292	Q8BNP8
Ptges2	-0.801705	96979	Q8BWM0
Ndufa8	-1.9206309	68375	Q9DCJ5
Ptgs1	4.11554	19224	P22437
Ptgs1	4.11554	19224	Q543T1
Gpd2	-0.42070237	14571	Q64521
G6pc2	0.34262082	14378	Q9Z186
Atp5g3	-1.0724342	228033	P56384
Atp5g3	-1.0724342	228033	Q14BC2
Ndufs3	-2.5570128	68349	Q9DCT2
Dgkz	2.762946	104418	Q80UP3
Dgkz	2.762946	104418	A0A668KL90
Dgkz	2.762946	104418	A2AHJ7
Dgkz	2.762946	104418	A2AHK0
Lpcat4	2.5458229	99010	Q6NVG1
Ivd	1.0379831	56357	Q9JHI5
Pla2g4e	1.8920358	329502	Q50L42
Pla2g4d	-6.9020047	78390	Q50L43
Pla2g4f	1.6534754	271844	Q50L41
Idh3b	-0.39457777	170718	Q91VA7
Cds2	2.6661232	110911	Q99L43
Cds2	2.6661232	110911	A2AMQ5
Cds2	2.6661232	110911	Q6PBC0
Cds2	2.6661232	110911	Q8BX08
Gpcpd1	1.0085951	74182	Q8C0L9
Crls1	2.0418148	66586	Q80ZM8
Crls1	2.0418148	66586	A0A0C3SFZ5
Acss1	1.3633871	68738	Q99NB1
Acss1	1.3633871	68738	Q3UJ89
Acss1	1.3633871	68738	Q69Z91
Cox4i2	-0.9628514	84682	Q91W29
Acss2	2.2606888	60525	Q9QXG4
Lpin3	0.32628754	64899	Q99PI4
Lpin3	0.32628754	64899	Q149B0
Lpin3	0.32628754	64899	Q571G1
Ptgis	2.2925127	19223	O35074
Atp5e	-1.2169352	67126	P56382
Atp5e	-1.2169352	67126	Q545F5
Dgkk	0.5960282	331374	Q6DIC8
Ndufb11	-2.3882742	104130	O09111
Ndufa1	-1.6574802	54405	O35683
Ndufa1	-1.6574802	54405	Q545K0
Idh3g	-1.212064	15929	P70404
Idh3g	-1.212064	15929	Q3TGZ3
Atp6ap1	0.09984571	54411	Q9R1Q9
Atp6ap1	0.09984571	54411	Q3TWN7
Atp6ap1	0.09984571	54411	Q3UWN7
Gk	0.93374276	14933	Q64516
Gk	0.93374276	14933	B1ASZ3
Gk	0.93374276	14933	Q3TEN9
Gk	0.93374276	14933	Q3TET2
Pcyt1b	0.49349913	236899	Q811Q9
Cox7b	-1.131861	66142	P56393
Cox7b	-1.131861	66142	Q5FW98
Pgk1	4.6471434	18655	P09411
Gla	-0.4512445	11605	Q3UM38
Gla	-0.4512445	11605	Q8BGZ6
Acsl4	2.230305	50790	Q9QUJ7
Acsl4	2.230305	50790	Q8BW44
Acsl4	2.230305	50790	Q91YN3
Hsd17b10	-2.9962015	15108	Q99N15
Pdha1	-1.0814248	18597	P35486
Pdha1	-1.0814248	18597	Q3UFJ3
Pld1	2.9029715	18805	D6RH77
Pld1	2.9029715	18805	Q3UWT7
Pld1	2.9029715	18805	Q6NVF2
Ndufb5	-1.8701022	66046	Q9CQH3
Ndufb5	-1.8701022	66046	D3Z568
Mccc1	1.6945026	72039	Q99MR8
Ndufc1	-1.799407	66377	Q9CQY9
Hmgcs2	1.2701371	15360	P54869
Cept1	1.0977658	99712	Q8BGS7
Dbt	0.8424661	13171	P53395
Pla2g12a	-0.2641144	66350	Q9EPR2
Hadh	-0.104815915	15107	Q61425
Cyp2u1	1.3431841	71519	Q9CX98
Ppa2	-1.739895	74776	Q91VM9
Ppa2	-1.739895	74776	D3Z636
