genesymbol	lfc_rna	ncbi_id	UniprotKB
Lypla1	0.43487254	18777	P97823
Atp6v1h	-0.28705135	108664	Q8BVE3
Atp6v1h	-0.28705135	108664	A0A0A6YX18
Cox5b	1.0425788	12859	Q9D881
Hibch	-0.056622833	227095	Q8QZS1
Ndufb3	0.34258825	66495	Q9CQZ6
Ndufs1	-0.35828218	227197	Q91VD9
Idh1	-0.3149606	15926	O88844
Acadl	1.4896908	11363	P51174
Acadl	1.4896908	11363	A0A0R4J083
Acsl3	1.2156129	74205	Q9CZW4
Acsl3	1.2156129	74205	E9PUC2
Dgkd	1.1072953	227333	E9PUQ8
Ndufa10	0.5265009	67273	Q99LC3
Aldh9a1	1.0389014	56752	Q9JLJ2
Aldh9a1	1.0389014	56752	Q3TMT4
Aldh9a1	1.0389014	56752	Q3U367
Aldh9a1	1.0389014	56752	Q3V1N7
Sdhc	0.26285014	66052	Q9CZB0
Ndufs2	0.078266144	226646	Q91WD5
Fh1	1.4298426	14194	P97807
Lpgat1	-0.6691284	226856	Q91YX5
Lpgat1	-0.6691284	226856	E9QL80
Lpgat1	-0.6691284	226856	Q3UZK0
Lpgat1	-0.6691284	226856	Q6A0A4
Atp5c1	0.7327359	11949	Q91VR2
Atp5c1	0.7327359	11949	A2AKU9
Atp5c1	0.7327359	11949	Q3UD06
Atp5c1	0.7327359	11949	Q8C2Q8
Pnpla7	-1.5001482	241274	A2AJ88
Ptges2	0.40324196	96979	Q8BWM0
Ndufa8	0.59212816	68375	Q9DCJ5
Gpd2	2.8162587	14571	Q64521
Atp5g3	0.4455235	228033	P56384
Atp5g3	0.4455235	228033	Q14BC2
Ndufs3	0.6409668	68349	Q9DCT2
Dgkz	-0.96629894	104418	Q80UP3
Dgkz	-0.96629894	104418	A0A668KL90
Dgkz	-0.96629894	104418	A2AHJ7
Dgkz	-0.96629894	104418	A2AHK0
Ivd	-0.44422606	56357	Q9JHI5
Idh3b	0.12364482	170718	Q91VA7
Cds2	0.9002964	110911	Q99L43
Cds2	0.9002964	110911	A2AMQ5
Cds2	0.9002964	110911	Q6PBC0
Cds2	0.9002964	110911	Q8BX08
Gpcpd1	-0.48888978	74182	Q8C0L9
Crls1	-3.0882487	66586	Q80ZM8
Crls1	-3.0882487	66586	A0A0C3SFZ5
Acss1	-2.59089	68738	Q99NB1
Acss1	-2.59089	68738	Q3UJ89
Acss1	-2.59089	68738	Q69Z91
Cox4i2	-2.4404182	84682	Q91W29
Acss2	1.4237384	60525	Q9QXG4
Atp5e	0.27394822	67126	P56382
Atp5e	0.27394822	67126	Q545F5
Ndufb11	0.9259617	104130	O09111
Ndufa1	0.9554416	54405	O35683
Ndufa1	0.9554416	54405	Q545K0
Idh3g	0.16677159	15929	P70404
Idh3g	0.16677159	15929	Q3TGZ3
Atp6ap1	0.6359123	54411	Q9R1Q9
Atp6ap1	0.6359123	54411	Q3TWN7
Atp6ap1	0.6359123	54411	Q3UWN7
Gk	1.2537986	14933	Q64516
Gk	1.2537986	14933	B1ASZ3
Gk	1.2537986	14933	Q3TEN9
Gk	1.2537986	14933	Q3TET2
Pcyt1b	-0.015760792	236899	Q811Q9
Cox7b	1.0282757	66142	P56393
Cox7b	1.0282757	66142	Q5FW98
Pgk1	-1.132035	18655	P09411
Gla	1.3280823	11605	Q3UM38
Gla	1.3280823	11605	Q8BGZ6
Acsl4	1.4572546	50790	Q9QUJ7
Acsl4	1.4572546	50790	Q8BW44
Acsl4	1.4572546	50790	Q91YN3
Hsd17b10	1.5546687	15108	Q99N15
Pdha1	0.81109774	18597	P35486
Pdha1	0.81109774	18597	Q3UFJ3
Ndufb5	0.56687474	66046	Q9CQH3
Ndufb5	0.56687474	66046	D3Z568
Mccc1	-0.6974511	72039	Q99MR8
Ndufc1	0.5789834	66377	Q9CQY9
Cept1	-0.35892728	99712	Q8BGS7
Dbt	-1.2732708	13171	P53395
Pla2g12a	1.5265076	66350	Q9EPR2
Hadh	-0.19080085	15107	Q61425
Cyp2u1	1.7357665	71519	Q9CX98
Ppa2	0.26687804	74776	Q91VM9
Ppa2	0.26687804	74776	D3Z636
Adh5	-0.19073065	11532	P28474
Adh5	-0.19073065	11532	Q6P5I3
Acadm	3.542475	11364	P45952
Aco1	0.4740504	11428	P28271
Ndufb6	1.0536709	230075	Q3UIU2
Ndufb6	1.0536709	230075	A2AP31
Grhpr	0.13298586	76238	Q91Z53
Grhpr	0.13298586	76238	Q3T9Z2
Aldh1b1	0.39976618	72535	Q9CZS1
Atp6v1g1	0.123320386	66290	Q9CR51
Atp6v1g1	0.123320386	66290	Q5HZY7
Cyp2j6	1.0564251	13110	O54750
Cyp2j6	1.0564251	13110	Q8CC91
Pgm2	1.3678312	66681	Q7TSV4
Plpp3	0.2681172	67916	Q99JY8
Cpt2	-1.7694623	12896	P52825
Cpt2	-1.7694623	12896	Q3UN55
Gpx7	1.1374824	67305	Q99LJ6
Gpx7	1.1374824	67305	Q3TNK3
Uqcrh	0.28642452	66576	P99028
Akr1a1	0.15914764	58810	Q9JII6
Akr1a1	0.15914764	58810	Q540D7
Akr1a1	0.15914764	58810	Q80XJ7
Atp6v0b	0.7647655	114143	Q91V37
Atp6v0b	0.7647655	114143	Q3U889
Ndufs5	0.6740018	595136	Q99LY9
Hmgcl	-0.27204788	15356	P38060
Lypla2	-0.43756077	26394	Q9WTL7
Sdhb	1.2779701	67680	Q9CQA3
Eno1	0.4407409	13806	P17182
Eno1	0.4407409	13806	Q5FW97
Hadha	-0.85605884	97212	Q8BMS1
